id,archived,import_id,import_origin,process_instance_id,version,created_on,updated_on,attrs,icon,name,slug,created_by,updated_by
1,,,,,6,2026-06-05 11:11:12.917909,2026-06-08 17:36:57.806734,,https://img.icons8.com/?size=100&id=sJXle6UehcOM&format=png&color=000000,Гитары,guitars,1,1
4,,,,,1,2026-06-05 11:25:15.714126,2026-06-08 17:40:58.121734,,https://img.icons8.com/?size=100&id=O0a3FyvxkiWR&format=png&color=000000,Оборудование,equipment,1,1
3,,,,,1,2026-06-05 11:15:13.364448,2026-06-08 17:42:21.875735,,https://img.icons8.com/?size=100&id=oP1s802PHSWl&format=png&color=000000,Ударные,drums,1,1
2,,,,,2,2026-06-05 11:14:17.732137,2026-06-08 17:44:24.548734,,https://img.icons8.com/?size=100&id=KiHtyaCkYFAx&format=png&color=000000,Клавишные,keyboards,1,1
